title,price
Apartament 2 Camere sau Garsoniera în Regim hotelier / Climatizare,110 lei
Apartament 2 camere zona Maratei. Piatra Neamt,154 169 leiPrețul e negociabil
Persoana fizica vand apartament 2 camere Palazu Mare,494 834 leiPrețul e negociabil
"Apartament 2 camere finisat,decomandat,zona Sesul de Sus",418 744 lei
Apartament 2 camere  cu gradina langa metrou,275 267 lei
Apartament 2 camere pret rrdus metrou,295 906 lei
Apartament 2 camere Victoria Rezidential,571 421 leiPrețul e negociabil
Apartament 2 camere  cu gradina langa metrou,300 879 lei
Apartament 2 camere de inchiriat Centru - Sfantul Lazar,2 337 lei
Apartament 2 camere Miroslava Family Market,268 553 leiPrețul e negociabil
Vand apartament 2 camere in Dorobanti-Floreasca,586 838 lei
Apartament 2 camere-Tatarasi-Oancea-etaj 1,596 287 lei
De vanzare apartament 2 camere decomandate Manastur,586 838 lei
Apartament 2 camere DECOMANDAT 53 MP zona Bularga,372 493 lei
Vand apartament 2 camere Titan,556 999 lei
"Apartament 2 camere cu terasa, Bd Metalurgiei, dezvoltator",473 449 lei
"Apartament 2 camere decomandate, Sesul de Sus",417 749 lei
Apartament 2 camere decomandate Zen Residence,576 892 lei
Apartament 2 camere regim hotelier.Aer conditionat.,100 lei
"Apartament 2 camere, bloc finalizat",316 296 lei
"Apartament , 72mp , zona Careiului",337 681 lei
Apartament 2 camere,343 151 lei
Inchiriere apartament 2 camere Herastrau,3 451 lei
Apartament la cheie pe strada Maramuresului,631 681 lei
"Apartament 2 camere, Stadionului, Brasov.",920 043 lei
Inchiriez de apartament,280 lei
Vand Apartament Zona Piata Mica,198 680 lei
"Închiriez apartament de inchiriat 130 mp-lux, proprietar .",3 979 lei
Comision 0% Apartamente Direct De La Dezvoltator Intre Lacuri Cluj,816 535 lei
Apartament vanzare 3 camere- Proiect finalizat!,530 621 lei
Apartament 2 camere vedere bilaterala Faleză Nord,484 887 lei
Ofer spre inchiriere apartament cu 2 camere pe str. Nordului,1 243 lei
Închiriez Apartament 2 Camere,1 000 leiPrețul e negociabil
Apartament Gradina Botanică,666 409 lei
Vând apartament cu doua camere,188 982 lei
"Apartament 2 camere, Constanta",2 387 lei
Apartament 2 camere,2 984 leiPrețul e negociabil
Apartament 2 camere,1 741 lei
Apartament recent renovat,233 741 lei
Apartament 2 Camere - Brasov,422 722 lei
Apartament 4 camere - Zona Centrala,686 302 lei
Apartament Superb 4 Camere-Direct Dezvoltator-Comision 0!,758 911 lei
